# The 2MASS Redshift Survey
# Huchra et al., to be submitted to ApJS
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.1, 2011 June 22
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Additions to the 2MASS XSC -- deblended galaxy/star or galaxy/galaxy pairs, recentered galaxies. Provided by Tom Jarrett.
#
#ID               RAdeg      DECdeg       l          b        k_c    h_c    j_c    k_tc   h_tc   j_tc  e_k   e_h   e_j   e_kt  e_ht  e_jt   e_bv r_iso r_ext  b/a  type  ts flgs
03392830+1323417  54.867667 +13.393053 173.478928 -32.525757 11.652 11.901 12.657 11.550 11.727 12.555 0.074 0.037 0.037 0.073 0.042 0.051 0.352 1.422 1.630 0.160 98    NN 0000
09472014-3720443 146.829500 -37.347250 267.074615  12.395258 11.653 12.037 12.702 11.651 12.037 12.700 0.076 0.056 0.046 0.189 0.072 0.167 0.164 1.446 1.615 0.180 98    NN 0111
00244982-4021070   6.208625 -40.353472 323.838074 -75.677353 11.662 12.102 13.034 11.568 11.952 12.866 0.070 0.052 0.044 0.068 0.056 0.052 0.016 1.332 1.536 0.200 98    NN 0000
13182685-1545599 199.610800 -15.769590 312.412262  46.607128 11.665 11.945 12.616 11.540 11.864 12.515 0.086 0.046 0.039 0.084 0.052 0.047 0.074 1.427 1.616 0.340 98    NN 0000
15140165+8156194 228.506851  81.938713 117.303207  33.566143 11.666 12.062 12.763 11.580 11.956 12.640 0.034 0.031 0.027 0.053 0.047 0.039 0.045 1.130 1.430 0.600 98    NN 0111
03504306+7407352  57.689583 +74.126667 134.468765  15.422453 11.678 11.808 12.453 11.673 11.805 12.453 0.082 0.056 0.039 0.182 0.145 0.027 0.264 1.407 1.583 0.340 98    NN 0000
01310193+4903364  22.761860  49.059410 129.578781 -13.299938 11.680 12.013 12.751 11.678 12.013 12.748 0.053 0.046 0.038 0.085 0.030 0.151 0.152 1.403 1.575 0.220 98    NN 0111
18522403+7311312 283.100958 +73.194356 104.195755  25.812319 11.709 12.151 12.859 11.709 12.032 12.663 0.079 0.058 0.046 0.166 0.068 0.051 0.078 1.569 1.734 0.120 98    NN 0000
22591210+1336053 344.803333 +13.606667  85.643448 -41.004681 11.711 12.019 12.758 11.430 11.609 12.713 0.100 0.059 0.050 0.095 0.056 0.070 0.080 1.439 1.705 0.120 98    NN 0333
13095078-2414307 197.466250 -24.239111 308.291351  38.438213 11.724 11.899 12.642 11.724 11.899 12.612 0.096 0.067 0.048 0.056 0.043 0.063 0.129 1.583 1.773 0.200 98    NN 0111
20475270+1757034 311.970750 +17.950792  63.213589 -15.745161 11.726 11.984 12.631 11.633 11.858 12.494 0.069 0.036 0.032 0.070 0.039 0.041 0.112 1.253 1.470 0.300 98    NN 0333
03050558+4403167  46.275230  44.055280 146.848602 -12.522633 11.730 12.063 12.801 11.663 11.925 12.621 0.059 0.044 0.041 0.065 0.052 0.050 0.246 1.250 1.471 0.420 98    NN 0000
00264631-3340381   6.692960 -33.677238 340.491180 -81.567497 11.735 11.859 12.449 11.279 11.400 11.994 0.062 0.034 0.028 0.076 0.041 0.033 0.013 1.387 1.653 0.490 98    NN Z111
09592884-6443590 149.863958 -64.730972 285.851624  -7.728776 11.739 12.185 12.604 11.738 12.184 12.558 0.150 0.119 0.082 0.167 0.180 0.107 0.229 1.519 1.664 0.260 98    NN 0222
