# The 2MASS Redshift Survey
# Huchra et al., to be submitted to ApJS
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.1, 2011 June 22
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Entries from original 2MASS XSC that have been rejected -- stellar sources, pieces of galaxies, artifacts, etc.
#
#ID               RAdeg      DECdeg       l          b        k_c    h_c    j_c    k_tc   h_tc   j_tc  e_k   e_h   e_j   e_kt  e_ht  e_jt   e_bv r_iso r_ext  b/a  type  ts flgs notes
04341298+7200034  68.554520  72.000893 138.345245  16.181255  9.473 10.220 11.736  9.473 10.220 11.736 0.062 0.074 0.102 0.076 0.089 0.149 0.191 1.863 1.973 0.780 25    ND 0666 rjc_v0
04342962+7312243  68.623749  73.206673 137.393661  16.970276 11.481 11.724 12.348 11.088 11.487 12.116 0.087 0.063 0.044 0.083 0.077 0.058 0.133 1.365 1.734 0.600 98    NN 0222 del_v3
04362230-1022346  69.092934 -10.376300 206.720444 -34.659809 10.467 11.169 11.999 10.372 11.049 11.823 0.022 0.023 0.021 0.032 0.032 0.028 0.075 1.258 1.555 0.580 40    LM Z000 rjc_v0
04373684-5950010  69.403550 -59.833650 269.832150 -39.850420 11.598 13.322 13.838 11.365 13.322 13.827 0.110 0.217 0.145 0.102 0.189 0.233 0.022 1.322 1.561 0.760 22    NN 0000 del_v4
04392802+5519023  69.866562  55.317307 151.593414   5.692831 10.431 10.621 11.058 10.431 10.621 11.058 0.039 0.032 0.023 0.102 0.018 0.050 0.701 1.603 1.753 0.260 21    LM 0000 del_v3
04392916-6214108  69.871510 -62.236330 272.752110 -38.992020  8.395 10.139 13.045  8.395 10.139 13.045 0.094 0.288 1.188 0.047 0.144 0.859 0.025 2.041 2.041 0.340 22    JH 0122 del_v4
04454255-5914506  71.427299 -59.247410 268.784058 -38.989902  7.224  7.529  8.132  7.020  7.341  7.897 0.019 0.017 0.016 0.030 0.025 0.021 0.023 2.057 2.312 0.693 40    LM Z111 rjc_v0
04531024+3423105  73.292694  34.386154 169.132584  -6.020551 10.084 10.314 11.061 10.023 10.239 10.985 0.029 0.025 0.025 0.027 0.024 0.028 0.969 1.626 1.804 0.200 98    NN 0666 del_v3
04544316-6248020  73.679909 -62.800503 272.886047 -37.149582 11.744 11.767 12.318 11.744 11.767 12.318 0.132 0.062 0.043 0.077 0.038 0.028 0.034 1.511 1.510 0.340 98    NN 0000 del_v3
04562861+2200371  74.119217  22.010187 179.492386 -13.053519 11.531 11.628 12.364 11.379 11.380 12.224 0.079 0.043 0.040 0.077 0.041 0.045 0.412 1.303 1.513 0.320 98    NN 0000 del_v3
04571495-6844422  74.312286 -68.745087 279.938660 -35.390667 11.676 12.472 12.740 11.676 12.472 12.740 0.156 0.175 0.109 0.091 0.125 0.076 0.075 1.360 1.359 0.740 30    LM 0222 del_v3
04571624-6623202  74.317757 -66.389038 277.143921 -36.024300 11.225 11.922 12.193 11.047 11.787 12.046 0.067 0.067 0.038 0.066 0.083 0.047 0.075 1.121 1.436 0.660 32    ND 0000 del_v3
04590950-6744370  74.789459 -67.743668 278.697021 -35.494648  9.756  9.942 10.353  9.477  9.872 10.297 0.090 0.067 0.042 0.085 0.076 0.051 0.218 1.954 2.091 0.500 27    LM 0666 rjc_v0
05001448-0321178  75.060417  -3.354949 202.648972 -26.170158 11.549 11.807 12.410 11.091 11.437 12.212 0.101 0.059 0.043 0.104 0.073 0.066 0.051 1.310 1.706 0.320 98    NN 0666 del_v3
05005871-6933562  75.244446 -69.565727 280.788055 -34.842274 11.209 12.390 13.872 11.192 12.244 13.603 0.038 0.055 0.090 0.035 0.060 0.214 0.276 0.924 1.151 0.660 22    LM 0222 rjc_v0
05012418+5119517  75.350761  51.331421 156.774948   5.691884 11.440 12.573 11.954 11.381 12.510 11.878 0.039 0.065 0.021 0.040 0.094 0.025 0.746 0.898 1.197 0.700 98    NN 0000 del_v3
05041545+2738121  76.064300  27.636870 175.976090  -8.274520 11.353 11.440 11.963 11.293 11.312 11.950 0.042 0.033 0.026 0.047 0.036 0.043 0.957 1.079 1.340 0.700 22    NN 0333 del_v4
05081967+1721483  77.082047  17.363375 185.042267 -13.492464 10.066 10.425 11.147  9.960 10.307 11.057 0.028 0.029 0.021 0.026 0.029 0.026 0.352 1.326 1.551 0.660 98    NN 0000 del_v3
05084571+3116380  77.190559  31.277281 173.615158  -5.321717 10.319 10.682 11.557 10.319 10.682 11.557 0.039 0.038 0.028 0.037 0.038 0.034 0.701 1.498 1.646 0.440 40    LM 0113 rjc_v0
05100496-1456598  77.520714 -14.949940 215.623672 -29.053576 11.623 11.887 12.449 11.623 11.887 12.449 0.134 0.080 0.054 0.144 0.051 0.037 0.104 1.642 1.774 0.240 98    NN 0000 del_v3
05123023-7024219  78.126045 -70.406082 281.463013 -33.673058 11.684 12.508 12.751 11.465 12.430 12.648 0.092 0.106 0.069 0.091 0.148 0.091 0.075 1.130 1.423 0.820 30    LM 0333 del_v3
05141021-0608526  78.542560  -6.148000 207.173310 -24.406550 10.427 10.469 11.306 10.427 10.469 11.306 0.277 0.164 0.144 0.139 0.083 0.085 0.159 2.067 2.067 0.220 22    JH 0111 del_v4
05170834+1237462  79.284775  12.629502 190.317734 -14.337517 10.890 11.073 11.671 10.602 10.777 11.386 0.045 0.035 0.026 0.055 0.045 0.036 0.654 1.220 1.612 0.740 21    LM 0000 del_v3
05203358-6646437  80.139595 -66.778709 277.015808 -33.681335 11.731 12.188 12.372 11.727 11.783 12.316 0.143 0.116 0.059 0.156 0.099 0.069 0.075 1.428 1.590 0.460 98    NN 0311 del_v3
05273778-6727305  81.907028 -67.458336 277.693665 -32.898392 11.509 12.186 12.522 11.509 12.186 12.522 0.064 0.057 0.038 0.036 0.038 0.026 0.075 1.049 1.049 0.640 98    NN 0133 del_v3
05304266-6717108  82.678131 -67.286446 277.443634 -32.627548 10.810 11.227 11.153 10.244 11.227 10.736 0.099 0.084 0.036 0.081 0.047 0.035 0.299 1.599 1.882 0.620 27    LM 0114 rjc_v0
05305522-6627595  82.730003 -66.466553 276.474030 -32.707603 11.724 11.750 11.906 11.165 11.278 11.436 0.121 0.077 0.041 0.122 0.088 0.047 0.075 1.207 1.586 0.840 98    NN 0111 del_v3
05315499+4338482  82.979195  43.646851 166.059448   5.493347 11.198 11.521 12.351 11.136 11.385 12.202 0.054 0.042 0.040 0.052 0.044 0.046 0.547 1.326 1.541 0.240 21    LM 0333 del_v3
05331099-3623486  83.295815 -36.396851 241.044571 -30.693806 10.297 10.524 11.251 10.297 10.524 11.251 0.056 0.036 0.030 0.028 0.018 0.017 0.038 1.790 1.790 0.220 40    LM 0666 rjc_v0
05344057-2913566  83.669289 -29.232382 233.168808 -28.552752 10.547 10.712 11.488 10.421 10.499 11.333 0.057 0.027 0.024 0.049 0.023 0.028 0.026 1.422 1.615 0.740 40    LM 0666 rjc_v0
05363258+1638561  84.135735  16.648865 189.395538  -8.225619 10.943 11.307 12.120 10.391 11.286 12.032 0.081 0.047 0.040 0.075 0.083 0.071 0.563 1.425 1.805 0.840 40    LM 0666 rjc_v0
05364297+1337381  84.179184  13.627284 192.028854  -9.764224 10.880 11.098 11.717 10.610 10.758 11.385 0.050 0.027 0.022 0.053 0.031 0.028 0.461 1.204 1.569 0.920 21    LM 0331 del_v3
05382261-7041134  84.594055 -70.687065 281.317230 -31.505238 10.874 11.641 12.252 10.696 11.582 12.252 0.088 0.095 0.077 0.080 0.107 0.104 0.814 1.540 1.749 0.360 26    ND 0224 rjc_v0
05383396-6905457  84.641602 -69.096039 279.461151 -31.684843  7.490  8.099  8.294  7.490  8.099  8.294 0.016 0.017 0.009 0.008 0.008 0.005 0.075 1.846 1.846 0.740 32    LM 0666 rjc_v0
05383549-6904437  84.647865 -69.078827 279.440765 -31.684587 10.056 10.842 10.725 10.009 10.676 10.646 0.053 0.060 0.025 0.047 0.051 0.024 0.075 1.528 1.672 0.360 32    LM 0221 rjc_v0
05383796-6903297  84.658165 -69.058334 279.416321 -31.683264 10.043 10.788 10.743 10.043 10.788 10.743 0.094 0.104 0.046 0.047 0.054 0.025 0.075 1.606 1.606 0.960 22    LM 0111 rjc_v0
05384066-6900218  84.669289 -69.006126 279.354828 -31.685219 10.696 11.465 11.677 10.696 11.465 11.677 0.143 0.144 0.082 0.072 0.084 0.049 0.075 1.770 1.770 0.220 33    LM 0222 rjc_v0
05385378-6904589  84.724121 -69.083038 279.442047 -31.657059  7.065  7.874  8.012  6.848  7.870  8.011 0.012 0.014 0.008 0.012 0.015 0.008 0.075 2.071 2.173 0.460 32    LM 0111 rjc_v0
05385471-6905329  84.727890 -69.092491 279.452881 -31.654655  9.186 10.081 10.067  9.120  9.978  0.075 0.040 0.054 0.026 0.040 0.052 0.026 0.075 1.652 1.812 0.340 32    LM 0666 rjc_v0
05390293-6905260  84.762070 -69.090401 279.448853 -31.642771 11.022 11.878 11.889 10.995 11.806 11.533 0.080 0.082 0.041 0.074 0.089 0.039 0.075 1.188 1.372 0.720 33    JH 0222 rjc_v0
05393773-6945410  84.907303 -69.761337 280.224365 -31.515219 10.437 11.550 12.394  9.955 11.515 12.394 0.094 0.136 0.127 0.149 0.385 0.411 0.075 1.465 1.897 0.640 22    LM 0222 rjc_v0
05394014-6946193  84.917236 -69.772026 280.236359 -31.510557  9.912 10.716 10.898  9.865 10.619 10.832 0.052 0.064 0.035 0.050 0.060 0.036 0.075 1.391 1.585 0.920 22    LM 0222 rjc_v0
05395275-6945178  84.969742 -69.754967 280.213989 -31.494503 10.096 10.944 11.294  9.550 10.923 11.101 0.071 0.089 0.054 0.095 0.203 0.118 0.075 1.473 1.950 0.740 22    LM 0666 rjc_v0
05452760-2555505  86.365000 -25.930720 230.483960 -25.254660 10.289 10.554 11.260 10.289 10.554 11.102 0.060 0.036 0.028 0.120 0.054 0.028 0.025 1.755 1.879 0.320 22    JH 0000 del_v4
05452779-6946220  86.365677 -69.772865 280.175934 -31.012440 11.540 12.133 12.578 11.439 11.972 12.305 0.082 0.067 0.045 0.081 0.074 0.047 0.075 1.093 1.354 0.900 98    NN 0333 del_v3
05453957+5836099  86.414848  58.602638 154.074066  14.949176 11.633 11.944 12.514 11.627 11.942 12.514 0.064 0.049 0.036 0.135 0.064 0.025 0.283 1.375 1.541 0.260 98    NN 0000 del_v3
05464670-1647083  86.694710 -16.785583 221.313477 -21.647766  9.529  9.802 10.702  9.442  9.705 10.570 0.037 0.026 0.022 0.034 0.024 0.022 0.084 1.635 1.797 0.400 40    LM 0666 rjc_v0
05471648+0120075  86.818497   1.335307 204.250504 -13.605311 10.809 10.968 11.526 10.679 10.799 11.372 0.050 0.037 0.028 0.045 0.036 0.033 0.722 1.233 1.487 0.820 21    LM 0313 del_v3
05494563-7012437  87.440285 -70.212265 280.648804 -30.608339 10.228 11.348 12.457 10.157 11.226 12.065 0.033 0.045 0.049 0.029 0.042 0.044 0.471 1.179 1.364 0.580 27    LM 0333 rjc_v0
05495771+5023330  87.490402  50.392467 161.799637  11.591148 10.859 11.142 11.886 10.858 11.024 11.885 0.043 0.028 0.026 0.156 0.026 0.159 0.248 1.484 1.635 0.440 98    NN 0300 del_v3
05512118-6921328  87.838654 -69.359062 279.648956 -30.532187 11.138 11.324 11.814 10.875 11.057 11.483 0.069 0.039 0.024 0.096 0.063 0.038 0.292 1.179 1.640 0.660 22    LM 0111 rjc_v0
05562235+0749432  89.093170   7.828640 199.560806  -8.493602 10.965 11.277 11.861 10.859 11.217 11.827 0.066 0.047 0.045 0.059 0.050 0.054 0.467 1.201 1.441 0.540 21    LM 0000 del_v3
05562386+4606175  89.099548  46.104767 166.156418  10.475551  9.715 10.326 10.384  9.699 10.308 10.372 0.010 0.010 0.005 0.011 0.011 0.006 0.233 1.124 1.374 0.800 30    LM 0000 rjc_v0
05571929-5222215  89.330338 -52.372662 260.075439 -29.225714 11.631 12.090 12.894 11.339 12.089 12.881 0.082 0.076 0.055 0.078 0.107 0.084 0.060 1.444 1.775 0.280 98    NN 0611 del_v3
05573751-6715496  89.406219 -67.263779 277.197510 -30.038132 10.452 10.628 11.034 10.079 10.170 10.556 0.071 0.051 0.029 0.081 0.055 0.035 0.065 1.467 1.796 0.620 27    LM 0221 rjc_v0
06003883-0950384  90.161697  -9.844020 216.112137 -15.706161 11.246 12.335 14.075 11.218 12.202 14.031 0.039 0.042 0.067 0.037 0.047 0.106 0.981 0.949 1.197 0.900 22    LM 0000 rjc_v0
06004329-0952034  90.180359  -9.867604 216.142471 -15.699765  9.555  9.965 10.851  9.498  9.817 10.642 0.021 0.020 0.020 0.020 0.022 0.023 0.981 1.193 1.444 0.600 21    LM 0000 del_v3
06022337+0541362  90.597310   5.693400 202.179200  -8.212860 11.361 12.623 13.192 10.918 12.613 13.192 0.096 0.157 0.122 0.098 0.320 0.252 0.449 1.441 1.795 0.740 22    NN 0333 del_v4
06030431+0641304  90.767906   6.691847 201.375717  -7.586538 11.176 11.410 11.962 11.126 11.227 11.775 0.057 0.040 0.032 0.056 0.040 0.035 0.418 1.117 1.371 0.560 21    LM 0000 del_v3
06045758-0635165  91.239950  -6.588010 213.572200 -13.319700 11.062 11.775 12.900 10.820 11.701 12.575 0.049 0.043 0.046 0.069 0.087 0.084 0.324 1.079 1.556 0.780 25    JH 0000 del_v4
06054172-8637550  91.423447 -86.631874 299.201263 -27.746660  8.142  8.521  9.411  8.091  8.465  9.342 0.017 0.015 0.015 0.017 0.014 0.020 0.140 1.951 2.092 0.220 98    NN 0000 del_v3
06055724-3557521  91.488716 -35.964489 242.485214 -24.192995 11.226 11.622 12.291 11.221 11.502 12.285 0.060 0.044 0.037 0.136 0.044 0.135 0.075 1.412 1.573 0.260 98    NN 0000 del_v3
06060859-6248055  91.535710 -62.801610 272.092930 -29.041260 11.448 11.885 12.590 11.055 11.836 12.131 0.098 0.071 0.053 0.102 0.114 0.064 0.053 1.334 1.684 0.620 22    NN 0333 del_v4
06062602-8637579  91.607880 -86.632774 299.200226 -27.735828  9.758 10.351 11.166  9.639  9.975 10.859 0.039 0.038 0.031 0.052 0.039 0.038 0.140 1.562 1.913 0.380 40    LM 0222 rjc_v0
06090130-1042517  92.255524 -10.714320 217.844650 -14.222734 10.751 10.931 11.512 10.688 10.847 11.410 0.041 0.022 0.017 0.037 0.023 0.019 0.472 1.201 1.436 0.480 21    LM 0333 del_v3
06100970-3406499  92.540504 -34.113811 240.845215 -22.812849 11.598 11.820 12.399 11.598 11.820 12.399 0.065 0.034 0.028 0.037 0.021 0.018 0.033 1.522 1.522 0.120 98    NN 0000 del_v3
06103285+7122451  92.637138  71.379158 142.807220  22.438025 10.195 10.473 11.218 10.195 10.473 11.218 0.052 0.044 0.031 0.026 0.022 0.018 0.228 1.900 1.901 0.140 40    LM 0000 rjc_v0
06111689-6609210  92.820210 -66.155900 275.951420 -28.671180 11.234 11.414 12.050 11.182 11.414 12.050 0.237 0.145 0.097 0.208 0.148 0.107 0.068 1.861 1.867 0.340 22    JH 0111 del_v4
06142300-6950424  93.595657 -69.845139 280.162628 -28.517450 10.727 10.658 11.081 10.727 10.658 11.081 0.076 0.040 0.022 0.038 0.020 0.012 0.076 1.645 1.646 0.700 27    LM 0666 rjc_v0
06165166-4747434  94.215210 -47.795350 255.648680 -25.317260 11.719 12.021 12.839 11.238 11.488 12.256 0.089 0.068 0.055 0.103 0.083 0.070 0.050 1.255 1.672 0.440 22    NN 0331 del_v4
06181070+7822337  94.544487  78.376038 135.627106  24.878897 11.195 11.454 12.070 11.195 11.454 12.070 0.103 0.068 0.047 0.054 0.040 0.029 0.096 1.652 1.653 0.120 22    LM 0212 rjc_v0
06190436+0309321  94.768074   3.158925 206.403534  -5.736277 10.089 10.459 11.421 10.089 10.418 11.421 0.041 0.035 0.031 0.043 0.031 0.018 0.722 1.680 1.806 0.420 40    LM 0111 rjc_v0
06201364+6635053  95.056831  66.584831 148.010681  21.741535 11.152 11.511 12.147 10.993 11.127 11.999 0.066 0.052 0.035 0.057 0.042 0.038 0.109 1.320 1.529 0.760 40    LM 0111 rjc_v0
06262045-5341358  96.585220 -53.693260 262.373630 -25.153790  9.798 10.095 10.827  9.623  9.968 10.706 0.041 0.033 0.025 0.037 0.030 0.026 0.094 1.620 1.804 0.620 22    JH 0000 del_v4
06262209-5341259  96.591888 -53.690624 262.371704 -25.149374 10.352 10.772 11.422 10.352 10.772 11.422 0.069 0.058 0.041 0.034 0.031 0.024 0.094 1.638 1.639 0.460 98    NN 0222 del_v3
06275421+2246238  96.975922  22.773317 190.023209   5.301014 11.315 11.610 12.330 11.197 11.475 12.150 0.060 0.052 0.039 0.056 0.056 0.043 0.407 1.173 1.414 0.780 21    LM 0333 del_v3
06292334+7429437  97.346992  74.495453 139.950272  24.616236 11.108 11.402 12.194 10.993 11.321 12.104 0.065 0.040 0.033 0.058 0.042 0.039 0.136 1.428 1.616 0.420 40    LM 0666 rjc_v0
06350343+2231160  98.764280  22.521090 191.001240   6.658030 10.657 10.975 11.699 10.205 10.564 11.220 0.065 0.047 0.037 0.068 0.057 0.048 0.208 1.539 1.879 0.520 22    NN 0333 del_v4
06372072+1829486  99.336494  18.496935 194.856873   5.324719 11.602 11.948 12.701 11.458 11.760 12.519 0.069 0.053 0.049 0.069 0.059 0.058 0.496 1.083 1.348 0.820 21    NN 0333 del_v3
06401291-0802132 100.053870  -8.037050 218.839420  -6.135890 11.471 12.022 12.563 10.966 11.374 12.362 0.095 0.086 0.068 0.130 0.125 0.154 0.607 1.173 1.638 0.720 22    NN 0333 del_v4
06413093+4010268 100.378967  40.174137 175.268585  15.350982 11.345 11.662 12.305 11.345 11.662 12.305 0.068 0.047 0.041 0.077 0.029 0.060 0.146 1.688 1.833 0.260 98    NN 0222 del_v3
06421768+3934302 100.573982  39.574875 175.901474  15.256799 11.653 12.033 12.588 11.393 11.819 12.197 0.052 0.037 0.031 0.061 0.052 0.039 0.115 1.072 1.469 0.680 21    NN 0333 del_v3
06422328+5310451 100.597382  53.179192 162.557175  20.118937 11.557 11.890 12.655 11.501 11.804 12.578 0.052 0.042 0.033 0.053 0.047 0.041 0.085 1.346 1.559 0.240 98    NN 0333 del_v3
06430449+2918153 100.768810  29.304340 185.615390  11.237070 11.255 11.653 12.325 11.030 11.650 12.325 0.076 0.065 0.045 0.063 0.073 0.053 0.116 1.565 1.709 0.520 22    NN 0044 del_v4
06442732-1755568 101.113869 -17.932508 228.268417  -9.566316 11.663 11.894 12.630 11.663 11.894 12.630 0.084 0.048 0.042 0.049 0.030 0.029 0.416 1.413 1.412 0.260 40    LM 0000 rjc_v0
06455204-1811513 101.466797 -18.197592 228.657715  -9.378158 11.189 11.437 11.978 11.189 11.437 11.978 0.129 0.086 0.055 0.067 0.050 0.034 0.383 1.565 1.565 0.620 40    LM 0111 rjc_v0
06455492-1812493 101.478836 -18.213736 228.677475  -9.374817 10.121 10.088 10.809 10.121 10.088 10.809 0.073 0.045 0.034 0.091 0.052 0.042 0.384 1.617 1.748 1.000 40    LM 0211 rjc_v0
07021384+2513365 105.557716  25.226772 191.215561  13.429186 11.091 13.234 14.427 11.091 13.234 14.427 0.071 0.176 0.227 0.036 0.149 0.203 0.067 1.567 1.567 0.820 25    LM 0333 rjc_v0
07021515-2756556 105.563133 -27.948679 239.232925 -10.173279 11.232 12.899 14.477 11.152 12.899 14.477 0.107 0.195 0.209 0.097 0.152 0.190 0.149 1.507 1.690 0.300 22    LM 0331 rjc_v0
07030234+4925206 105.759789  49.422466 167.437180  22.062984 11.146 11.635 12.210 10.994 11.435 12.109 0.058 0.048 0.032 0.049 0.046 0.035 0.099 1.375 1.573 0.520 40    LM 0222 rjc_v0
07051537-1839124 106.314148 -18.653379 231.117905  -5.453040 11.387 11.620 12.187 11.135 11.486 12.128 0.074 0.043 0.036 0.084 0.061 0.059 0.465 1.146 1.531 0.780 25    LM 0333 del_v3
07094814-2734153 107.450462 -27.570877 239.625656  -8.505417 10.869 10.980 11.729 10.839 10.980 11.729 0.106 0.045 0.043 0.113 0.024 0.026 0.169 1.600 1.733 0.260 40    LM 0666 rjc_v0
07111990+2622322 107.832870  26.375530 190.967361  15.765284 10.602 10.896 11.638 10.602 10.896 11.585 0.054 0.039 0.029 0.055 0.037 0.031 0.088 1.534 1.676 0.460 40    LM 0111 rjc_v0
07114179+4952003 107.924232  49.866673 167.382324  23.532295  9.632 10.928 11.608  9.632 10.928 11.608 0.034 0.074 0.046 0.017 0.040 0.027 0.067 1.722 1.722 0.500 98    NN 0141 del_v3
07160361+6442315 109.015381  64.708916 151.386185  26.939644 10.192 10.474 11.128 10.060 10.342 11.027 0.043 0.033 0.023 0.037 0.028 0.024 0.081 1.486 1.664 0.820 40    LM 0222 rjc_v0
07171337-2855037 109.305695 -28.917772 241.580063  -7.644804 11.465 11.787 12.577 11.288 11.556 12.407 0.088 0.044 0.046 0.079 0.044 0.051 0.226 1.446 1.679 0.320 40    LM 0666 rjc_v0
07212674+2311006 110.361389  23.183521 194.959442  16.638058 10.449 10.691 11.391 10.449 10.691 11.391 0.052 0.036 0.026 0.052 0.038 0.033 0.077 1.601 1.735 0.480 40    LM 0111 rjc_v0
07213023+5545416 110.376091  55.761597 161.394547  26.261517 10.124 10.427 11.078  9.525  9.856 10.208 0.043 0.036 0.025 0.080 0.070 0.042 0.076 1.484 1.962 0.580 98    NN 0331 del_v3
07225814-0357344 110.742230  -3.959490 220.075180   5.179800  9.885 10.052 10.632  9.542 10.048 10.626 0.028 0.019 0.015 0.045 0.046 0.215 0.191 1.297 1.774 0.320 21    NN 0113 del_v4
07264143+3723288 111.672569  37.391365 181.229813  22.658415 10.749 10.991 11.657 10.563 10.910 11.614 0.043 0.033 0.026 0.039 0.035 0.032 0.056 1.297 1.555 0.900 21    NN 0000 del_v3
07271181+8544540 111.798889  85.748390 127.677025  27.709188 10.596 10.876 11.503 10.360 10.876 11.374 0.073 0.059 0.036 0.073 0.031 0.045 0.100 1.474 1.737 0.500 40    LM 0666 rjc_v0
07310660-0559482 112.777237  -5.996750 222.837997   6.016266 11.115 11.658 12.198 11.099 11.573 11.777 0.029 0.022 0.016 0.037 0.030 0.017 0.125 0.857 1.333 0.720 25    LM 0000 del_v3
07350830-4655512 113.784645 -46.930813 259.537567 -12.587092 10.679 11.041 11.857 10.679 11.041 11.857 0.065 0.051 0.044 0.032 0.028 0.027 0.222 1.749 1.749 0.140 40    LM 0111 rjc_v0
07351941-5015019 113.830864 -50.250610 262.614655 -14.020824 11.553 11.693 12.395 11.353 11.583 12.257 0.100 0.061 0.049 0.091 0.066 0.056 0.214 1.324 1.529 0.800 98    NN 0111 del_v3
07354753+1506504 113.948110  15.114080 204.088910  16.507620 11.731 12.235 12.876 11.187 11.759 12.564 0.095 0.090 0.064 0.121 0.143 0.122 0.054 1.233 1.679 0.640 22    NN 0331 del_v4
07372016+3524106 114.334007  35.402985 183.994141  24.109030 11.513 12.211 12.901 11.513 12.211 12.901 0.506 0.483 0.416 0.282 0.325 0.294 0.043 1.875 1.875 1.000 25    ND 0444 del_v3
07380545-5511511 114.522583 -55.197445 267.423676 -15.767303 11.679 11.850 12.660 11.440 11.463 12.452 0.104 0.056 0.052 0.098 0.050 0.060 0.148 1.225 1.523 0.720 98    NN 0222 del_v3
07383288-6846104 114.637032 -68.769585 280.607239 -21.054438 11.116 11.426 12.168 10.813 10.813 11.611 0.079 0.051 0.042 0.078 0.043 0.041 0.213 1.310 1.681 0.900 40    LM 0666 rjc_v0
07403690+3913568 115.153786  39.232441 180.135086  25.797186 11.229 11.431 12.163 11.021 11.041 11.705 0.058 0.034 0.026 0.052 0.030 0.023 0.050 1.389 1.678 0.320 40    LM 0121 rjc_v0
07472609-5458312 116.858800 -54.975330 267.823790 -14.468140 11.439 11.632 12.486 10.956 11.555 12.480 0.148 0.103 0.091 0.102 0.113 0.119 0.179 1.702 1.851 0.320 22    NN 0331 del_v4
07493232+8356013 117.385406  83.933739 129.616165  28.491138 10.097 10.235 10.641  9.703  9.817 10.291 0.057 0.040 0.021 0.062 0.042 0.025 0.061 1.565 1.865 0.780 25    LM 0000 rjc_v0
07504810+7421171 117.700775  74.354836 140.457077  30.037643 10.489 10.800 11.458 10.489 10.800 11.458 0.049 0.040 0.025 0.077 0.021 0.027 0.028 1.627 1.759 0.480 40    LM 0000 rjc_v0
07592535-4217042 119.855408 -42.284512 257.520050  -6.565056 11.210 11.622 12.148 11.148 11.613 11.985 0.058 0.047 0.040 0.057 0.056 0.045 0.680 1.217 1.446 0.400 21    NN 0444 del_v3
08053779-0058174 121.407450  -0.971610 222.519610  15.981780 10.986 11.425 12.179 10.692 11.219 11.762 0.073 0.053 0.039 0.076 0.069 0.046 0.032 1.265 1.612 0.880 21    JH 0333 del_v4
08055980+2621177 121.499260  26.354830 195.629170  27.213990 11.652 12.193 12.545 11.652 12.193 12.545 0.865 0.579 0.372 9.999 0.960 0.624 0.041 2.079 2.177 1.000 21    NN 0666 del_v4
08124369-1443158 123.182190 -14.721395 235.628632  10.549135 11.742 12.034 12.836 11.722 11.868 12.635 0.049 0.028 0.027 0.072 0.039 0.039 0.072 0.875 1.352 0.840 98    NN 0000 del_v3
08160947+1146552 124.039530  11.781890 211.648730  24.072010 11.302 15.822 12.831 10.904 15.822 12.297 0.098 2.186 0.072 0.096 9.999 0.082 0.026 1.382 1.695 0.740 22    NN 0000 del_v4
08173227-4537124 124.384384 -45.620079 262.106995  -5.595918 10.422 10.625 11.136 10.294 10.447 10.961 0.069 0.049 0.041 0.061 0.047 0.043 0.806 1.380 1.577 0.600 98    NN 0111 del_v3
08192941+7043221 124.872231  70.722733 144.265915  32.720913 10.962 10.880 12.535 10.962 10.880 12.535 0.160 0.083 0.118 0.080 0.044 0.079 0.032 1.636 1.637 1.000 32    LM 0222 rjc_v0
08230989-7751099 125.790970 -77.852768 290.876892 -21.888762 11.106 11.354 12.033 10.932 10.986 11.546 0.084 0.053 0.037 0.072 0.043 0.030 0.113 1.403 1.623 0.700 40    LM 0222 rjc_v0
08351591+2828216 128.816391  28.472654 195.455215  34.042812 10.526 10.619 11.370 10.526 10.619 11.370 0.050 0.033 0.024 0.025 0.017 0.014 0.039 1.628 1.628 0.880 40    LM 0666 rjc_v0
08362494-1922430 129.103836 -19.378639 242.780472  12.706523 11.345 11.711 12.253 10.891 11.343 12.035 0.093 0.057 0.039 0.112 0.084 0.070 0.098 1.288 1.707 0.800 21    NN 0333 del_v3
08420888+2245057 130.537020  22.751620 202.601070  33.888270 11.098 11.468 12.047 11.098 11.468 12.047 0.962 0.671 0.429 0.994 0.732 0.548 0.040 2.079 2.175 1.000 22    JH 0222 del_v4
08442894-3141307 131.120530 -31.691800 253.921880   6.835120  6.665  7.177  7.641  6.661  7.175  7.637 0.002 0.002 0.001 0.002 0.002 0.001 0.257 1.591 1.766 0.760 21    NN 0000 del_v4
08453453+7259512 131.394012  72.997688 141.001068  34.081421 10.914 11.223 12.060 10.828 11.119 11.969 0.042 0.034 0.027 0.041 0.034 0.032 0.032 1.588 1.769 0.200 40    LM 0000 rjc_v1
08453501+7259560 131.395874  72.998917 140.999451  34.081532 10.884 11.250 11.980 10.789 11.213 11.883 0.059 0.052 0.035 0.051 0.057 0.042 0.032 1.652 1.832 0.180 40    LM 0000 rjc_v0
08533273+5118493 133.386368  51.313683 167.325714  39.679897  7.553  7.820  8.486  7.442  7.699  8.388 0.015 0.013 0.010 0.014 0.012 0.010 0.023 1.906 2.047 0.840 98    NN 0666 del_v3
09045569+5955589 136.232193  59.933006 155.920502  39.784927  9.913 10.144 10.857  9.843 10.057 10.770 0.029 0.026 0.017 0.034 0.024 0.023 0.036 1.615 1.781 0.340 40    LM 0000 rjc_v0
